country,region_id,authority_id,auth_name_e,old_park_id,new_park_id
Wales,W10000001,W06000006,Wrexham,WREXH_812459d5aab3;WREXH_227b01037bcf,5c961f0e700d
Wales,W10000001,W06000006,Wrexham,WREXH_0796392758d7;WREXH_4d428eb9049c,d260422edc61
Wales,W10000001,W06000006,Wrexham,WREXH_972058440e63,732e01495130
Wales,W10000001,W06000006,Wrexham,WREXH_bef5cceb3dea,dfb6cdc4cfc4
Wales,W10000001,W06000006,Wrexham,WREXH_e9cb47e7755b;WREXH_d6adc3358447,bb9777f6f488
Wales,W10000001,W06000006,Wrexham,WREXH_896f0187d40e,ddb192a5a570
Wales,W10000001,W06000006,Wrexham,WREXH_20cf16bbdc01,99be4d07f49b
Wales,W10000001,W06000006,Wrexham,WREXH_e5f28d390ea8,da35322d6a36
Wales,W10000001,W06000006,Wrexham,WREXH_d80274d68de2;WREXH_83f5471bffda,80e14d5e04d3
Wales,W10000001,W06000006,Wrexham,WREXH_af3891241682;WREXH_fbf62ba32492,2034491b9da5
Wales,W10000001,W06000006,Wrexham,WREXH_0d72f4609866;WREXH_399c1d16d746,8caa218c70c7
Wales,W10000001,W06000006,Wrexham,WREXH_9edeb6aa98a7,aa6db110179c
Wales,W10000001,W06000006,Wrexham,WREXH_dd4602da9736,243f6163bd53
Wales,W10000001,W06000006,Wrexham,WREXH_3d2cfc56b950;WREXH_983d6939601e,611d386d5c0d
Wales,W10000001,W06000006,Wrexham,WREXH_1be1c4375662,534397ffc5f8
Wales,W10000001,W06000006,Wrexham,WREXH_81133759530e;WREXH_7b4ca806ee24,547c9bc6def6
Wales,W10000001,W06000006,Wrexham,WREXH_6cdd460bccfb,c60910012d96
Wales,W10000001,W06000006,Wrexham,WREXH_087a2ace11f1,81b713f5c99e
Wales,W10000001,W06000006,Wrexham,WREXH_a7f39d050d9c,a0e4c0d9600a
Wales,W10000001,W06000006,Wrexham,WREXH_9ce6be29f0c5;WREXH_d7f00792da09,2d4008f64cd0
Wales,W10000001,W06000006,Wrexham,WREXH_676b688b0a4c;WREXH_bff41d165bd0,42840f13f5f0
Wales,W10000001,W06000006,Wrexham,WREXH_06f8c3dd8212;WREXH_bbbb41d78a60,3102cc5ed9c3
Wales,W10000001,W06000006,Wrexham,WREXH_430a1751ce6c;WREXH_5b983dc889da,a436814e2c58
Wales,W10000001,W06000006,Wrexham,WREXH_867e1780561c,c6f2b63a4f9f
Wales,W10000001,W06000006,Wrexham,WREXH_53a32db236a5;WREXH_51efc0ea4100,997dc3c5a1f1
Wales,W10000001,W06000006,Wrexham,WREXH_b6245e2fd939;WREXH_86861300f93a,f8896d88869d
Wales,W10000001,W06000006,Wrexham,WREXH_88d649a1454a;WREXH_a56615c27884,6d72d5fdc4f9
Wales,W10000001,W06000006,Wrexham,WREXH_2fc2a3ffc46e,635735f3c2d0
Wales,W10000001,W06000006,Wrexham,WREXH_68bf6d78613a;WREXH_c992ac4ba144,1e2e4deb1948
Wales,W10000001,W06000006,Wrexham,WREXH_0b02e8ab0482,591f0ef0560e
Wales,W10000001,W06000006,Wrexham,WREXH_15f13d654cd9,3153e37b92c6
Wales,W10000001,W06000006,Wrexham,WREXH_36c666b5c5fd;WREXH_26ee93a58e97,dc142f2b1961
Wales,W10000001,W06000006,Wrexham,WREXH_76dcd96c397a,5af1515c08c2
Wales,W10000001,W06000006,Wrexham,WREXH_9ee21bea68bb;WREXH_f88372ecf11b,4fb73218f695
Wales,W10000001,W06000006,Wrexham,WREXH_83d9ee3d364e,1f3d3228d1c8
